Symbol,Company,Volume,Price,Change,%Change
TTEC,TTEC Holdings Inc.,17.0M,4.99,1.72,52.60
CRVO,CervoMed Inc.,2.8M,13.58,3.60,36.07
ALMS,Alumis Inc.,2.8M,9.84,2.60,35.91
TCRT,Alaunos Therapeutics Inc.,13.6M,2.80,0.64,29.63
TIVC,Tivic Health Systems Inc.,950.9K,3.25,0.73,28.97
CGNT,Cognyte Software Ltd.,2.0M,9.95,1.73,21.05
BNGO,Bionano Genomics Inc.,198.2K,3.75,0.65,20.97
VPG,Vishay Precision Group Inc.,1.1M,28.26,4.75,20.20
HUBC,Hub Cyber Security Ltd.,386.9K,3.62,0.61,20.17
HURA,TuHURA Biosciences Inc.,204.1K,3.48,0.57,19.59
SLN,Silence Therapeutics PLC ADR,268.7K,2.89,0.47,19.42
DBVT,DBV Technologies S.A. ADR,483.9K,7.70,1.24,19.20
NOTV,Inotiv Inc.,761.0K,2.87,0.46,19.09
MCRP,Micropolis Holding Co.,175.3K,3.45,0.55,18.97
NAMI,Jinxin Technology Holding Co. ADR,50.2K,2.95,0.45,18.00
ZSPC,zSpace Inc.,84.2K,8.78,1.32,17.69
MYNZ,Mainz Biomed N.V.,127.3K,3.44,0.51,17.41
CRWV,CoreWeave Inc. Cl A,48.9M,61.36,8.79,16.72
GPUS,Hyperscale Data Inc.,79.5K,2.70,0.39,16.63
SION,Sionna Therapeutics Inc.,294.6K,11.83,1.67,16.44
CLNN,Clene Inc.,57.2K,3.00,0.42,16.28
RCAT,Red Cat Holdings Inc.,7.4M,7.42,1.03,16.12
VMAR,Vision Marine Technologies Inc.,2.0M,5.07,0.68,15.39
MNPR,Monopar Therapeutics Inc.,69.3K,38.53,5.10,15.26
AUID,authID Inc.,977.3K,5.52,0.73,15.24
KPTI,Karyopharm Therapeutics Inc.,92.1K,4.06,0.52,14.69
GLTO,Galecto Inc.,107.0K,3.23,0.41,14.54
JUNE,Junee Ltd.,158.1K,10.81,1.36,14.39
PVLA,Palvella Therapeutics Inc.,68.2K,26.97,3.38,14.33
TELO,Telomir Pharmaceuticals Inc.,481.0K,3.13,0.39,14.23
AMLX,Amylyx Pharmaceuticals Inc.,760.5K,3.78,0.44,13.17
NFE,New Fortress Energy LLC Cl A,8.7M,8.57,0.99,13.06
BKKT,Bakkt Holdings Inc.,395.9K,10.26,1.18,13.00
WOOF,Petco Health & Wellness Co. Inc.,15.3M,3.34,0.38,12.84
AARD,Aardvark Therapeutics Inc.,92.1K,9.35,1.06,12.79
SYTA,Siyata Mobile Inc.,827.2K,2.39,0.27,12.74
XGN,Exagen Inc.,262.5K,4.43,0.50,12.72
XYF,X Financial ADR,491.1K,16.00,1.80,12.68
ANGO,AngioDynamics Inc.,2.5M,10.86,1.20,12.42
PHH,Park Ha Biological Technology Co. Ltd.,562.0K,13.25,1.46,12.38
OCUL,Ocular Therapeutix Inc.,1.9M,7.34,0.80,12.23
YOSH,Yoshiharu Global Co.,97.8K,16.43,1.74,11.84
DNLI,Denali Therapeutics Inc.,3.7M,13.74,1.45,11.80
AUUD,Auddia Inc.,129.0K,4.32,0.45,11.63
ACON,Aclarion Inc.,135.5K,12.61,1.30,11.49
OM,Outset Medical Inc.,59.0K,12.15,1.24,11.37
RNA,Avidity Biosciences Inc.,3.2M,29.77,3.03,11.33
ADVM,Adverum Biotechnologies Inc.,154.9K,4.26,0.43,11.23
LUNR,Intuitive Machines Inc. Cl A,9.0M,8.30,0.83,11.18
SWTX,SpringWorks Therapeutics Inc.,2.5M,46.52,4.64,11.08
BOF,BranchOut Food Inc.,211.7K,2.41,0.24,11.06
ZBIO,Zenas BioPharma Inc.,157.7K,8.43,0.83,10.92
ARQT,Arcutis Biotherapeutics Inc.,5.3M,16.60,1.62,10.81
ACLX,Arcellx Inc.,939.0K,67.23,6.53,10.76
CMPS,COMPASS Pathways PLC ADR,1.9M,3.09,0.30,10.75
IDYA,IDEAYA Biosciences Inc.,2.2M,16.35,1.58,10.70
IVDA,Iveda Solutions Inc.,61.4K,2.59,0.25,10.68
ADTX,Aditxt Inc.,191.8K,5.00,0.48,10.62
GYRE,Gyre Therapeutics Inc.,279.0K,7.09,0.68,10.61
SMC,Summit Midstream Corp.,152.1K,36.75,3.50,10.53
PAL,Proficient Auto Logistics Inc.,424.5K,9.05,0.86,10.50
AMTM,Amentum Holdings Inc.,5.0M,19.71,1.84,10.30
ALAR,Alarum Technologies Ltd. ADR,172.9K,7.00,0.64,10.06
RKT,Rocket Cos. Inc.,31.2M,13.85,1.25,9.92
FDMT,4D Molecular Therapeutics Inc.,1.0M,3.28,0.29,9.70
NTLA,Intellia Therapeutics Inc.,5.4M,7.30,0.65,9.69
LEDS,SemiLEDS Corp.,134.5K,2.66,0.23,9.47
SEPN,Septerna Inc.,212.4K,5.50,0.47,9.46
LGHL,Lion Group Holding Ltd. ADR,154.6K,3.50,0.30,9.38
MREO,Mereo BioPharma Group PLC ADR,1.5M,2.37,0.20,9.22
SLRN,ACELYRIN Inc.,2.6M,2.74,0.23,9.16
NUKK,Nukkleus Inc.,87.5K,13.89,1.16,9.11
USAR,USA Rare Earth Inc.,226.7K,6.85,0.57,9.08
EBS,Emergent Biosolutions Inc.,1.4M,5.17,0.43,9.07
ALGT,Allegiant Travel Co.,421.1K,55.45,4.60,9.05
IOVA,Iovance Biotherapeutics Inc.,7.6M,3.54,0.29,8.92
HTZ,Hertz Global Holdings Inc.,6.4M,4.05,0.33,8.87
MRX,Marex Group PLC,1.4M,38.84,3.16,8.86
CANG,Cango Inc. ADR,126.5K,4.19,0.34,8.83
SMMT,Summit Therapeutics Inc.,2.5M,20.46,1.66,8.83
KRRO,Korro Bio Inc.,70.0K,17.34,1.39,8.71
RGTI,Rigetti Computing Inc.,42.6M,8.49,0.68,8.71
NRIX,Nurix Therapeutics Inc.,1.3M,11.38,0.91,8.69
OBIO,Orchestra BioMed Holdings Inc.,118.9K,3.52,0.28,8.64
ZVIA,Zevia PBC,505.4K,2.39,0.19,8.64
MRUS,Merus N.V.,782.7K,43.01,3.41,8.61
AKRO,Akero Therapeutics Inc.,1.8M,41.95,3.31,8.57
AIFF,Firefly Neuroscience Inc.,346.1K,4.11,0.32,8.44
RCKT,Rocket Pharmaceuticals Inc.,4.7M,6.30,0.49,8.43
TRAW,Traws Pharma Inc.,77.9K,2.32,0.18,8.41
NGNE,Neurogene Inc.,389.0K,10.46,0.81,8.34
ELAB,PMGC Holdings Inc.,54.1K,4.69,0.36,8.31
DTI,Drilling Tools International Holdings Inc.,77.2K,2.48,0.19,8.30
SRRK,Scholar Rock Holding Corp.,1.5M,32.54,2.48,8.25
KLC,KinderCare Learning Cos. Inc.,581.8K,12.79,0.97,8.21
SBFM,Sunshine Biopharma Inc.,67.4M,2.25,0.17,8.17
ARCT,Arcturus Therapeutics Holdings Inc.,632.8K,10.20,0.77,8.17
SONM,Sonim Technologies Inc.,607.4K,3.20,0.24,8.11
SEI,Solaris Energy Infrastructure Inc.,665.1K,22.89,1.71,8.07
PCT,PureCycle Technologies Inc.,2.3M,7.38,0.55,8.05
